Municipios;Sexo;Periodo;Total
25009 Albi, L';Hombres;2013;448
25009 Albi, L';Hombres;2012;448
25009 Albi, L';Hombres;2011;454
25009 Albi, L';Hombres;2010;437
25009 Albi, L';Hombres;2009;423
25009 Albi, L';Hombres;2008;427
25009 Albi, L';Hombres;2007;428
25009 Albi, L';Hombres;2006;416
25009 Albi, L';Hombres;2005;433
25009 Albi, L';Hombres;2004;431
25009 Albi, L';Hombres;2003;426
25009 Albi, L';Hombres;2002;417
25009 Albi, L';Hombres;2001;409
25009 Albi, L';Hombres;2000;407
25009 Albi, L';Hombres;1999;399
25009 Albi, L';Hombres;1998;395
25009 Albi, L';Hombres;1997;""
